objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237648721252191316,756,301,3,756,3156,6,229.015835083015,-0.0898627864570168,24.63931,24.30655,22.8007,21.91766,21.04259,0.6998586,0.3917914,0.1931558,0.1342878,0.2445132
1237648721252190881,756,301,3,756,2721,3,229.017828296291,-0.091529025439745,25.21607,22.6002,23.19268,22.84073,22.31184,0.8107442,0.1421873,0.3681589,0.4068624,0.8033786
1237648721252189155,756,301,3,756,995,6,229.005858079742,-0.0739575436445564,23.50569,21.82264,21.45402,21.42513,22.28893,0.469031,0.05730817,0.06215881,0.08972556,0.576885
1237648721252189158,756,301,3,756,998,6,229.005845335482,-0.0757219924610788,24.76282,22.14498,21.76575,21.59729,22.64708,0.6888163,0.07286949,0.07928687,0.1015945,0.6250863
1237648721252189587,756,301,3,756,1427,6,229.005408078849,-0.0832467735682106,24.13886,22.49672,21.99016,21.8025,21.43272,0.6440511,0.09754661,0.09619208,0.1214462,0.3338026
1237648721252189168,756,301,3,756,1008,6,229.005424218792,-0.07999964646379,23.26264,21.37176,20.97981,20.91116,20.6645,0.3875735,0.03942572,0.04158886,0.05685271,0.1779501
1237648721252189172,756,301,3,756,1012,6,229.00468822606,-0.0794198600941425,24.24772,22.47004,21.79538,21.82878,22.79208,0.6785448,0.1001328,0.08476823,0.1294736,0.6521236
1237648721252189176,756,301,3,756,1016,6,229.006516067251,-0.0808146420603461,24.73697,23.04856,22.74056,22.42284,21.23174,0.6941826,0.1550185,0.1842985,0.2083256,0.2873428
1237648721252189174,756,301,3,756,1014,6,229.009975358491,-0.0818194614208446,24.42108,22.84389,22.27288,22.50079,21.57354,0.7024783,0.1333696,0.1252612,0.2269591,0.3790921
1237648721252189169,756,301,3,756,1009,6,229.010550624754,-0.0809149947881755,22.70489,21.27409,20.95106,20.80297,20.70485,0.2506856,0.03658881,0.04032719,0.05151636,0.1828509
1237648721252189173,756,301,3,756,1013,6,229.008178300319,-0.0812151641363311,23.07952,22.33749,21.94715,21.60389,21.8963,0.3361749,0.08506569,0.09255538,0.1021393,0.4583273
1237648721252189166,756,301,3,756,1006,6,229.007578946837,-0.0782205545140195,20.75643,19.66572,19.63267,19.72205,19.63113,0.05614949,0.01266043,0.01546623,0.02250184,0.076109
1237648721252189167,756,301,3,756,1007,6,229.008827686195,-0.0795820532509195,21.91867,20.72134,20.38199,20.34739,20.32641,0.1331519,0.02454952,0.02584386,0.03550546,0.1321648
1237648721252189141,756,301,3,756,981,6,229.002381398586,-0.0950545373955695,24.0686,23.18014,22.67276,22.27616,22.08372,0.703247,0.193735,0.1959747,0.2096354,0.5966545
1237648721252190014,756,301,3,756,1854,6,229.002540401835,-0.091941621390471,22.31251,21.64315,21.21879,21.1126,20.83233,0.1907039,0.05185613,0.05345764,0.07236577,0.221932
1237648721252189185,756,301,3,756,1025,6,229.008749745991,-0.0945882949017122,23.49443,21.64511,21.22972,21.29189,20.86906,0.453433,0.04912313,0.05105297,0.07868359,0.2115197
1237648721252189583,756,301,3,756,1423,6,229.003450802841,-0.0886480396551831,21.624,20.56699,20.11194,19.95071,19.88819,0.1041128,0.022103,0.0213044,0.02600266,0.09175745
1237648721252189582,756,301,3,756,1422,6,229.004917150321,-0.0866789213893803,21.58987,20.50602,20.05046,19.87099,19.8286,0.1012345,0.02137919,0.02046276,0.02453447,0.08754992
1237648721252189590,756,301,3,756,1430,6,229.004372853249,-0.0881316383236756,24.60082,23.4773,22.77862,23.23778,21.89076,0.7223266,0.2266145,0.1974489,0.4139459,0.4815164
1237648721252190831,756,301,3,756,2671,6,229.006587661613,-0.0908004445331012,22.83813,21.84164,21.45639,21.29217,21.1859,0.2807677,0.0580157,0.06254566,0.08036612,0.2823057
1237648721252189584,756,301,3,756,1424,6,229.003652972615,-0.0897919803740714,22.39803,21.33307,20.89782,20.86527,20.9368,0.1952661,0.03858554,0.0388499,0.05467251,0.2257785
1237648721252189581,756,301,3,756,1421,6,229.004835036068,-0.0850250680767126,24.82611,20.89018,19.67531,19.26062,19.07454,0.679666,0.02778493,0.01571654,0.0158185,0.04651533
