,hip,ra,dec,vmag,parallax,b-v,v-i,distance,absmag
46,17481,03 44 44.84,+20 44 53.2,8.7,0.0101,0.39399999999999996,0.46,99.00990099009901,3.721606868913213
47,17489,03 44 48.20,+24 17 22.5,5.45,0.00975,-0.034,0.01,102.56410256410257,0.39502307849268536
48,17497,03 44 51.22,+23 16 08.5,8.98,0.00976,0.40299999999999997,0.47,102.45901639344262,3.927249088333461
49,17499,03 44 52.52,+24 06 48.4,3.72,0.0088,-0.105,-0.09,113.63636363636363,-1.5575866392491537
50,17511,03 44 58.91,+22 01 57.2,9.49,0.01,0.489,0.56,100.0,4.49
51,17525,03 45 08.19,+26 17 33.5,11.49,0.013349999999999999,0.823,0.86,74.90636704119851,7.117406328502971
52,17527,03 45 09.73,+24 50 21.7,5.66,0.00887,-0.064,-0.03,112.73957158962797,0.3996180991586318
53,17531,03 45 12.48,+24 28 02.6,4.3,0.00875,-0.11,-0.08,114.28571428571428,-0.9899597348884326
54,17552,03 45 31.98,+21 14 48.5,7.75,0.011210000000000001,0.179,0.2,89.20606601248883,2.998028062974866
55,17572,03 45 48.80,+23 08 50.1,6.85,0.00968,0.06,0.07,103.30578512396694,1.7793767865419703
56,17573,03 45 49.59,+24 22 04.3,3.87,0.00906,-0.063,-0.02,110.37527593818984,-1.3443590116159347
57,17579,03 45 54.46,+24 33 16.6,5.76,0.00843,-0.036000000000000004,0.02,118.62396204033215,0.38913787312371184
