,hip,ra,dec,vmag,parallax,b-v,v-i,distance,absmag
192,17325,03 42 29.86,+20 09 00.4,8.42,,0.32899999999999996,0.38,,
193,17336,03 42 36.96,+17 17 36.3,7.07,,0.659,0.72,,
194,17340,03 42 41.16,+21 16 53.9,7.91,,0.624,0.69,,
195,17401,03 43 41.52,+23 38 57.3,7.93,,0.34700000000000003,0.41,,
196,17403,03 43 43.18,+25 04 51.0,7.52,,0.141,0.16,,
197,17407,03 43 46.03,+26 22 52.2,7.35,,1.16,1.12,,
198,17408,03 43 47.14,+19 39 54.6,6.13,,0.9940000000000001,1.0,,
199,17421,03 43 56.71,+18 53 46.3,9.9,,0.606,0.68,,
200,17423,03 43 57.96,+29 40 58.8,8.05,,0.147,0.16,,
201,17453,03 44 28.19,+20 55 43.6,6.09,,0.027999999999999997,0.04,,
202,17466,03 44 34.36,+17 44 50.6,9.23,,0.396,0.46,,
203,17470,03 44 37.21,+27 53 51.5,6.75,,0.37,0.43,,
204,17474,03 44 40.69,+29 49 20.9,8.37,,0.031,0.05,,
205,17481,03 44 44.84,+20 44 53.2,8.7,,0.39399999999999996,0.46,,
206,17482,03 44 44.90,+27 55 17.3,6.86,,0.642,0.71,,
207,17489,03 44 48.20,+24 17 22.5,5.45,,-0.034,0.01,,
208,17497,03 44 51.22,+23 16 08.5,8.98,,0.40299999999999997,0.47,,
209,17498,03 44 51.26,+30 08 08.7,8.22,,0.145,0.16,,
210,17499,03 44 52.52,+24 06 48.4,3.72,,-0.105,-0.09,,
211,17503,03 44 53.00,+19 49 50.4,8.47,,0.574,0.65,,
212,17511,03 44 58.91,+22 01 57.2,9.49,,0.489,0.56,,
213,17525,03 45 08.19,+26 17 33.5,11.49,,0.823,0.86,,
214,17527,03 45 09.73,+24 50 21.7,5.66,,-0.064,-0.03,,
215,17531,03 45 12.48,+24 28 02.6,4.3,,-0.11,-0.08,,
216,17547,03 45 27.52,+28 40 07.8,7.41,,0.128,0.14,,
217,17552,03 45 31.98,+21 14 48.5,7.75,,0.179,0.2,,
218,17572,03 45 48.80,+23 08 50.1,6.85,,0.06,0.07,,
219,17573,03 45 49.59,+24 22 04.3,3.87,,-0.063,-0.02,,
220,17579,03 45 54.46,+24 33 16.6,5.76,,-0.036000000000000004,0.02,,
221,17583,03 45 59.13,+25 23 55.3,8.04,,0.213,0.24,,
222,17586,03 46 01.01,+18 34 00.3,9.16,,0.28,0.32,,
223,17588,03 46 02.89,+24 31 40.8,6.43,,-0.02,0.02,,
224,17589,03 46 04.87,+21 59 55.7,9.46,,0.6759999999999999,0.74,,
225,17592,03 46 06.74,+27 20 46.4,9.61,,1.3459999999999999,1.31,,
226,17596,03 46 09.51,+28 51 33.5,7.9,,1.403,1.38,,
227,17607,03 46 19.33,+20 52 47.6,11.54,,0.843,0.88,,
228,17608,03 46 19.56,+23 56 54.5,4.14,,-0.051,0.02,,
229,17609,03 46 19.89,+26 12 57.5,9.61,,1.4369999999999998,1.77,,
230,17613,03 46 23.42,+27 46 32.8,9.24,,-0.02,0.0,,
231,17614,03 46 25.51,+17 55 03.9,9.87,,0.657,0.72,,
232,17616,03 46 25.84,+29 40 19.7,8.38,,0.213,0.24,,
233,17625,03 46 34.82,+25 50 38.3,8.72,,0.355,0.42,,
234,17642,03 46 48.93,+30 48 30.0,10.23,,,,,
235,17642,03 46 48.93,+30 48 30.0,10.23,,,,,
236,17657,03 46 55.57,+18 17 02.4,8.94,,0.485,0.56,,
237,17662,03 46 57.84,+28 40 47.7,8.68,,0.242,0.27,,
238,17664,03 46 59.38,+24 31 12.8,6.83,,0.021,0.04,,
239,17684,03 47 17.16,+23 43 36.5,6.98,,0.542,0.62,,
240,17692,03 47 20.96,+23 48 12.4,6.99,,0.03,0.05,,
241,17694,03 47 22.88,+22 55 20.0,8.17,,0.255,0.29,,
242,17698,03 47 25.67,+29 52 32.9,8.19,,0.184,0.2,,
243,17702,03 47 29.06,+24 06 18.9,2.85,,-0.086,-0.01,,
244,17704,03 47 29.44,+24 17 18.4,6.83,,0.066,0.08,,
245,17729,03 47 46.82,+25 23 08.9,8.32,,0.262,0.29,,
246,17740,03 47 57.04,+18 39 48.2,9.31,,0.591,0.66,,
247,17759,03 48 06.56,+24 59 18.5,6.44,,1.7009999999999998,1.71,,
248,17763,03 48 10.59,+21 19 44.8,7.97,,0.231,0.26,,
249,17773,03 48 18.49,+29 56 51.0,9.28,,0.309,0.35,,
250,17774,03 48 18.96,+26 35 21.0,7.98,,1.15,1.11,,
251,17775,03 48 18.97,+28 47 09.5,10.09,,0.373,0.44,,
252,17776,03 48 20.80,+23 25 16.9,5.44,,-0.067,-0.01,,
253,17791,03 48 30.08,+24 20 44.3,6.96,,0.128,0.14,,
254,17796,03 48 35.58,+30 39 23.5,9.04,,0.575,0.65,,
255,17803,03 48 38.80,+21 03 25.4,10.56,,1.11,1.19,,
256,17812,03 48 41.89,+25 48 02.7,8.44,,0.11,0.12,,
257,17828,03 48 54.71,+22 47 57.2,8.12,,0.05,0.06,,
258,17832,03 48 56.91,+23 51 26.2,6.47,,0.377,0.44,,
259,17837,03 49 00.21,+21 20 31.9,8.11,,0.528,0.6,,
260,17847,03 49 09.73,+24 03 12.7,3.62,,-0.07,-0.03,,
261,17851,03 49 11.20,+24 08 12.6,5.05,,-0.08199999999999999,-0.06,,
262,17862,03 49 21.74,+24 22 51.8,6.62,,-0.027000000000000003,-0.02,,
263,17871,03 49 25.31,+28 38 11.7,8.53,,0.8909999999999999,0.9,,
264,17892,03 49 38.17,+22 32 00.9,7.01,,0.033,0.05,,
265,17900,03 49 43.52,+23 42 43.1,6.17,,-0.046,-0.02,,
266,17909,03 49 47.45,+21 09 36.3,8.48,,1.713,1.74,,
267,17920,03 49 54.88,+19 33 59.0,8.62,,1.03,1.0,,
268,17921,03 49 55.06,+22 14 39.3,6.05,,-0.006,0.05,,
269,17923,03 49 58.04,+23 50 55.7,6.73,,0.063,0.07,,
270,17924,03 49 58.39,+27 26 21.5,12.28,,1.22,1.37,,
271,17928,03 50 03.36,+22 35 30.4,7.29,,0.5379999999999999,0.61,,
272,17937,03 50 09.96,+29 38 39.5,7.82,,0.11900000000000001,0.13,,
273,17954,03 50 18.91,+25 34 46.7,5.24,,0.231,0.26,,
274,17960,03 50 22.90,+17 28 37.1,7.5,,0.653,0.72,,
275,17961,03 50 23.56,+19 15 15.7,8.53,,0.47100000000000003,0.54,,
276,17962,03 50 24.89,+17 14 47.6,9.46,,0.782,0.82,,
277,17971,03 50 32.02,+29 44 41.7,8.8,,0.35600000000000004,0.42,,
278,17983,03 50 37.61,+17 46 36.0,9.12,,0.479,0.55,,
279,17999,03 50 52.42,+23 57 41.7,6.95,,0.078,0.09,,
280,18007,03 50 58.72,+29 39 18.9,7.95,,0.498,0.57,,
281,18018,03 51 03.02,+23 54 13.6,10.17,,1.16,1.12,,
282,18025,03 51 08.07,+20 33 10.6,10.74,,0.685,0.74,,
283,18046,03 51 25.30,+25 09 46.6,6.79,,0.16,0.18,,
284,18050,03 51 27.20,+24 31 07.5,8.86,,0.38,0.44,,
285,18059,03 51 36.61,+22 01 53.1,6.71,,1.12,1.15,,
286,18091,03 52 00.80,+19 35 49.1,10.5,,0.635,0.7,,
287,18096,03 52 04.97,+18 08 05.6,9.35,,0.612,0.68,,
288,18097,03 52 05.47,+22 40 20.8,7.57,,0.684,0.74,,
289,18106,03 52 11.48,+25 09 48.5,6.77,,0.583,0.65,,
290,18110,03 52 18.64,+18 55 03.6,8.26,,0.151,0.17,,
291,18116,03 52 23.10,+18 35 52.1,7.94,,0.21,0.23,,
292,18119,03 52 27.70,+28 08 01.9,8.6,,1.256,1.21,,
293,18130,03 52 35.73,+29 31 04.3,10.29,,0.38799999999999996,0.45,,
294,18149,03 52 48.25,+26 21 58.6,10.44,,0.63,0.7,,
295,18154,03 52 53.47,+24 42 57.0,9.44,,0.48,0.55,,
296,18163,03 52 59.28,+26 40 43.8,8.0,,0.644,0.71,,
297,18165,03 53 01.63,+20 12 28.9,8.97,,1.473,3.64,,
298,18170,03 53 09.96,+17 19 37.8,5.97,,0.354,0.41,,
299,18175,03 53 13.71,+25 45 22.0,10.24,,0.21,0.23,,
300,18181,03 53 21.16,+23 07 25.0,8.29,,1.54,1.59,,
301,18194,03 53 32.02,+25 43 47.9,7.84,,0.24,0.27,,
302,18201,03 53 34.46,+25 40 58.7,6.35,,0.11,0.12,,
303,18204,03 53 35.53,+30 46 24.6,9.19,,0.672,0.73,,
304,18208,03 53 37.68,+28 08 53.3,7.89,,0.84,0.86,,
305,18230,03 53 50.31,+26 53 45.2,7.48,,1.0490000000000002,1.02,,
306,18244,03 54 07.51,+21 08 06.2,11.16,,0.547,0.62,,
307,18258,03 54 20.69,+30 59 54.9,9.55,,0.523,0.6,,
308,18263,03 54 25.23,+24 21 36.7,10.94,,0.7140000000000001,0.76,,
309,18266,03 54 27.82,+21 23 23.5,10.96,,0.737,0.78,,
310,18273,03 54 33.35,+25 31 56.9,10.79,,0.7490000000000001,0.79,,
311,18283,03 54 36.63,+17 20 37.5,8.33,,0.15,0.17,,
312,18296,03 54 44.58,+23 12 05.8,7.95,,0.048,0.06,,
313,18304,03 54 48.73,+17 36 27.2,9.21,,0.47600000000000003,0.55,,
314,18320,03 54 59.83,+28 11 17.7,8.05,,0.737,0.78,,
315,18326,03 55 05.64,+18 35 25.9,7.82,,0.6920000000000001,0.75,,
316,18330,03 55 06.92,+27 03 52.5,8.06,,1.048,1.02,,
317,18346,03 55 19.40,+23 21 37.5,8.4,,1.01,0.99,,
318,18347,03 55 21.05,+19 22 52.1,8.88,,0.608,0.68,,
319,18350,03 55 23.08,+31 02 45.1,6.79,,0.081,0.09,,
320,18354,03 55 26.06,+17 37 57.6,7.69,,1.032,1.0,,
321,18386,03 55 48.42,+28 10 33.3,8.88,,0.20199999999999999,0.22,,
322,18405,03 56 06.52,+20 46 18.2,7.88,,1.008,0.98,,
323,18409,03 56 08.88,+19 13 42.3,8.89,,1.172,1.13,,
324,18431,03 56 28.11,+23 09 01.4,8.34,,0.26899999999999996,0.3,,
325,18433,03 56 28.62,+22 40 29.9,7.84,,0.688,0.75,,
326,18439,03 56 31.17,+26 44 34.6,8.76,,0.501,0.57,,
327,18459,03 56 39.70,+21 57 27.8,9.53,,0.469,0.54,,
328,18471,03 56 52.03,+22 28 41.7,5.62,,0.345,0.4,,
329,18472,03 56 52.09,+29 31 57.5,9.64,,0.531,0.6,,
330,18473,03 56 52.73,+20 05 01.1,8.79,,0.32,0.37,,
331,18485,03 57 03.80,+23 10 32.1,6.05,,0.031,0.05,,
332,18490,03 57 11.29,+21 19 24.9,6.84,,1.03,1.0,,
333,18491,03 57 11.82,+25 16 58.1,7.5,,1.022,1.0,,
334,18502,03 57 23.76,+21 33 13.6,8.96,,0.625,0.69,,
335,18506,03 57 25.45,+18 41 31.2,10.47,,0.608,0.68,,
336,18508,03 57 26.39,+24 27 43.0,6.19,,1.3719999999999999,1.2,,
337,18531,03 57 47.20,+22 55 27.7,8.78,,,,,
338,18544,03 58 01.68,+20 40 36.9,9.4,,0.518,0.59,,
339,18559,03 58 20.89,+24 04 52.4,7.21,,0.035,0.05,,
340,18595,03 58 44.03,+17 07 09.0,8.3,,0.498,0.57,,
341,18620,03 59 03.44,+23 37 41.1,7.36,,1.067,1.03,,
342,18621,03 59 05.45,+27 11 50.9,7.44,,0.14,0.15,,
343,18623,03 59 05.98,+25 17 33.5,12.26,,2.9,2.94,,
344,18625,03 59 09.43,+22 59 18.3,8.7,,0.556,0.63,,
345,18629,03 59 14.02,+25 12 57.4,8.29,,1.4480000000000002,1.45,,
346,18630,03 59 14.26,+26 14 20.9,11.16,,,,,
347,18643,03 59 25.87,+18 39 46.0,10.96,,0.655,0.72,,
348,18676,03 59 57.39,+30 25 51.9,9.15,,0.7,0.63,,
349,18620,03 59 03.44,+23 37 41.1,7.36,,1.067,1.03,,
350,18621,03 59 05.45,+27 11 50.9,7.44,,0.14,0.15,,
351,18623,03 59 05.98,+25 17 33.5,12.26,,2.9,2.94,,
352,18625,03 59 09.43,+22 59 18.3,8.7,,0.556,0.63,,
353,18629,03 59 14.02,+25 12 57.4,8.29,,1.4480000000000002,1.45,,
354,18630,03 59 14.26,+26 14 20.9,11.16,,,,,
355,18643,03 59 25.87,+18 39 46.0,10.96,,0.655,0.72,,
356,18676,03 59 57.39,+30 25 51.9,9.15,,0.7,0.63,,
357,18684,04 00 03.74,+21 22 13.2,9.98,,0.434,0.5,,
358,18687,04 00 08.73,+29 42 39.1,7.81,,0.33899999999999997,0.4,,
359,18696,04 00 19.26,+23 32 03.5,10.45,,1.5,1.47,,
360,18717,04 00 36.89,+17 17 48.2,6.31,,0.055999999999999994,0.07,,
361,18719,04 00 39.45,+20 22 50.2,8.66,,0.705,0.75,,
362,18721,04 00 39.95,+20 18 12.0,9.39,,0.48700000000000004,0.56,,
363,18735,04 00 48.69,+18 11 38.6,5.89,,0.319,0.38,,
364,18748,04 00 56.81,+23 12 05.7,6.52,,0.10300000000000001,0.12,,
365,18762,04 01 06.96,+20 11 57.7,6.76,,1.055,1.02,,
366,18779,04 01 25.01,+27 36 53.1,8.38,,0.996,0.97,,
367,18781,04 01 25.89,+28 30 07.1,7.08,,0.17300000000000001,0.19,,
368,18784,04 01 28.52,+19 35 47.5,9.38,,0.415,0.48,,
369,18787,04 01 30.38,+19 48 39.4,9.34,,0.5589999999999999,0.63,,
370,18792,04 01 34.57,+20 36 22.1,10.8,,0.507,0.58,,
371,18803,04 01 45.11,+21 39 33.8,8.75,,1.057,1.02,,
372,18815,04 01 55.40,+25 55 25.3,9.03,,1.5530000000000002,1.57,,
373,18820,04 01 59.21,+18 47 13.2,10.13,,0.509,0.58,,
