"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2004 ER21)","12","24.4","23 - 103","7","8.679, 354","11.879, 138","44727","? 2033-02 [20.7] ?","none","none","bK04E21R"
"525498 (2005 GE60)","27","22.1","66 - 296","0","8.309, 394","11.907, 314","44643","2020-03 [19.8]","2036-05 [380]","2036-05 [15]","a0525498"
"(2019 JY7)","1","27.7","5.0 - 22","6","8.974, 362","11.851, 282","44517","none","none","none","bK19J07Y"
"(2015 JF11)","5","20.8","120 - 538","9","9.204, 434","11.920, 162","44489","? 2020-06 [17.6] ?","none","none","bK15J11F"
"(2018 VL)","6","27.5","5.5 - 25","6","9.143, 378","11.966, 274","44433","? 2035-03 [23.6] ?","none","none","bK18V00L"
"(2008 JP24)","9","26.7","8.0 - 36","6","8.732, 346","11.814, 178","44431","? 2021-12 [23.3] ?","none","none","bK08J24P"
"(2011 AB3)","10","23.5","35 - 155","5","8.639, 402","11.946, 202","44313","2027-09 [23.9]","none","none","bK11A03B"
"(2005 TA)","9","27.2","6.3 - 28","6","7.517, 346","11.954, 58","44141","? 2034-08 [17.6] ?","none","none","bK05T00A"
"(2017 HE49)","2","23.7","32 - 142","6","8.214, 362","11.996, 114","44026","2021-12 [23.2]","none","none","bK17H49E"
"(2018 LQ5)","3","24.9","18 - 81","7","8.571, 418","11.697, 138","43821","? 2021-12 [23.8] ?","none","none","bK18L05Q"
"(2017 BB7)","5","28.1","4.2 - 19","4","8.243, 394","11.926, 218","43790","none","none","none","bK17B07B"
"(2014 FA44)","29","24.8","19 - 85","5","8.551, 426","11.907, 122","43760","? 2036-01 [23.1] ?","none","none","bK14F44A"
"(2020 AC)","5","26.7","8.0 - 36","4","6.627, 362","11.698, 162","43711","none","none","none","bK20A00C"
"(2019 ER2)","3","25.9","11 - 51","6","8.650, 442","11.686, 146","43567","? 2034-01 [24.0] ?","none","none","bK19E02R"
"(2010 VO21)","8","28.7","3.2 - 14","7","8.252, 410","11.947, 74","43470","none","none","none","bK10V21O"
"(2013 PA39)","9","26.0","11 - 49","7","7.788, 362","11.985, 146","43459","? 2030-08 [23.8] ?","none","none","bK13P39A"
"(2018 TH3)","2","29.0","2.8 - 12","7","8.674, 362","11.978, 106","43353","none","none","none","bK18T03H"
"(2018 LJ1)","7","26.5","8.7 - 39","5","8.822, 418","11.965, 106","43260","? 2031-04 [23.2] ?","none","none","bK18L01J"
"(2016 PC8)","7","24.7","20 - 89","6","7.134, 370","11.858, 170","43180","? 2026-06 [23.5] ?","none","none","bK16P08C"
"(2009 DN4)","7","26.0","11 - 49","8","8.390, 354","11.887, 170","42995","? 2024-01 [23.1] ?","none","none","bK09D04N"
