"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"482234 (2011 CG71)","23","22.6","53 - 235","1","11.432, 426","11.991, 354","282","2022-08 [22.3]","none","none","a0482234"
"(2018 SR3)","4","25.5","14 - 62","7","10.800, 354","11.956, 306","282","? 2044-09 [24.0] ?","none","none","bK18S03R"
"(2019 UX7)","8","24.4","23 - 103","5","10.963, 370","11.954, 346","281","2020-03 [22.4]","none","none","bK19U07X"
"(2006 SQ134)","6","24.7","20 - 89","8","10.968, 362","11.984, 346","280","? 2024-09 [21.1] ?","none","none","bK06SD4Q"
"(2015 VA3)","22","24.4","23 - 103","5","10.763, 370","11.954, 282","279","? 2033-03 [23.7] ?","none","none","bK15V03A"
"(2018 VT6)","4","25.3","15 - 68","8","10.619, 370","11.739, 338","279","none","none","none","bK18V06T"
"(2011 YA63)","8","24.6","21 - 94","6","11.703, 450","11.989, 370","278","? 2023-09 [23.6] ?","none","none","bK11Y63A"
"(2012 SK50)","10","24.8","19 - 85","8","10.952, 386","11.991, 346","278","none","none","none","bK12S50K"
"(2018 RQ4)","6","26.9","7.3 - 32","7","11.035, 330","11.914, 186","272","? 2020-11 [20.1] ?","none","none","bK18R04Q"
"(2008 WH14)","6","26.3","10 - 43","9","10.980, 378","11.954, 330","272","? 2031-10 [21.7] ?","none","none","bK08W14H"
"(2020 BB5)","4","29.6","2.1 - 9.3","7","11.037, 362","11.768, 330","272","none","none","none","bK20B05B"
"(2010 GH7)","15","27.3","6.0 - 27","7","10.764, 450","11.997, 210","271","none","none","none","bK10G07H"
"(2020 BL1)","1","25.7","13 - 56","7","11.433, 362","11.932, 354","271","? 2024-06 [22.2] ?","none","none","bK20B01L"
"(2014 DM23)","13","24.6","21 - 94","6","11.337, 370","11.962, 330","267","? 2022-02 [22.6] ?","none","none","bK14D23M"
"(2019 HF4)","1","27.6","5.3 - 23","7","11.043, 362","11.873, 154","261","? 2021-04 [20.6] ?","none","none","bK19H04F"
"(2018 LF3)","5","25.6","13 - 59","6","10.417, 362","11.948, 346","260","? 2040-12 [23.8] ?","none","none","bK18L03F"
"(2019 AS7)","4","25.9","11 - 51","7","11.282, 370","11.995, 338","260","none","none","none","bK19A07S"
"(2019 SP1)","5","24.1","26 - 118","7","10.866, 370","11.892, 170","260","? 2036-02 [18.4] ?","none","none","bK19S01P"
"(2019 YG1)","13","25.2","16 - 71","6","11.083, 354","11.803, 114","259","2020-03 [22.7]","none","none","bK19Y01G"
"(2014 QR296)","6","25.2","16 - 71","7","10.332, 362","11.873, 322","258","none","none","none","bK14QT6R"
"(2019 QZ3)","12","24.8","19 - 85","2","10.197, 362","11.821, 330","258","2024-02 [23.5]","none","none","bK19Q03Z"
"(2018 JP)","3","27.4","5.8 - 26","6","10.463, 362","11.869, 170","256","? 2021-05 [21.9] ?","none","none","bK18J00P"
"380128 (1997 WB21)","29","20.1","166 - 743","0","11.273, 346","11.999, 234","254","2020-03 [23.5]","2020-08 [97]","none","a0380128"
"(2016 HP6)","17","25.3","15 - 68","0","10.645, 386","11.998, 106","254","2020-03 [17.1]","2020-05 [1.3e4]","2020-05 [370]","bK16H06P"
"(2012 BS1)","6","28.4","3.6 - 16","8","10.688, 338","11.967, 274","253","none","none","none","bK12B01S"
"(2018 BG11)","1","27.3","6.0 - 27","9","11.191, 418","11.965, 210","251","none","none","none","bK18B11G"
"(2017 RO16)","5","27.8","4.8 - 21","7","11.041, 338","11.971, 282","250","none","none","none","bK17R16O"
"(2015 PK9)","27","23.7","32 - 142","0","11.184, 370","11.956, 346","248","2023-01 [21.5]","none","none","bK15P09K"
"(2011 YL28)","9","25.0","17 - 78","7","11.246, 314","11.931, 290","248","? 2033-11 [22.8] ?","none","none","bK11Y28L"
"(2013 QG11)","7","26.2","10 - 45","7","10.772, 362","11.888, 154","247","? 2038-08 [18.7] ?","none","none","bK13Q11G"
"(2018 DR)","4","27.3","6.0 - 27","6","10.802, 370","11.900, 322","247","none","none","none","bK18D00R"
"(2011 GE)","13","26.0","11 - 49","7","11.191, 370","11.990, 330","243","? 2024-08 [23.8] ?","none","none","bK11G00E"
"(2016 WP3)","7","25.5","14 - 62","7","11.199, 354","11.901, 314","239","? 2029-12 [23.8] ?","none","none","bK16W03P"
"(2017 BD29)","41","21.7","80 - 356","2","11.348, 394","11.999, 354","238","2020-03 [23.9]","2028-05 [39]","none","bK17B29D"
"(2018 RY7)","19","24.4","23 - 103","2","11.622, 386","11.917, 370","237","2020-07 [23.4]","none","none","bK18R07Y"
"(2020 BW7)","5","26.8","7.7 - 35","7","10.927, 378","11.957, 322","236","2020-03 [23.0]","none","none","bK20B07W"
"(2014 HY197)","6","28.6","3.3 - 15","9","11.478, 442","11.956, 306","235","none","none","none","bK14HJ7Y"
"(2015 SC17)","12","22.9","46 - 205","5","11.436, 386","11.981, 338","233","2021-08 [22.9]","none","none","bK15S17C"
"(2015 DO215)","3","26.6","8.3 - 37","7","10.977, 402","11.938, 370","232","none","none","none","bK15DL5O"
"367789 (2011 AG5)","60","21.8","76 - 340","1","10.999, 346","11.962, 314","231","2020-10 [23.5]","2023-01 [5700]","2023-02 [2800]","a0367789"
"(2011 BJ39)","9","27.4","5.8 - 26","7","11.050, 370","11.948, 314","231","? 2026-01 [20.6] ?","none","none","bK11B39J"
"(2011 GW65)","5","23.1","42 - 187","9","11.067, 378","11.985, 178","229","? 2021-05 [23.0] ?","none","none","bK11G65W"
"(2016 DB1)","7","26.5","8.7 - 39","6","10.658, 370","11.966, 186","229","? 2029-02 [23.0] ?","none","none","bK16D01B"
"(2016 US31)","5","25.2","16 - 71","8","11.202, 330","11.829, 226","228","? 2031-10 [20.8] ?","none","none","bK16U31S"
"(2017 AD21)","2","27.0","6.8 - 31","9","11.149, 442","11.964, 338","227","none","none","none","bK17A21D"
"452389 (2002 NW16)","232","18.1","417 - 1866","0","10.579, 354","11.910, 338","225","2022-05 [20.5]","2023-07 [550]","2023-07 [11]","a0452389"
"(2017 XG2)","11","22.1","66 - 296","5","10.812, 378","11.990, 338","224","2020-09 [23.1]","none","none","bK17X02G"
"350713 (2001 XP88)","60","20.6","132 - 590","0","11.502, 386","11.960, 354","223","2020-10 [21.3]","none","none","a0350713"
"(2013 EQ41)","9","25.5","14 - 62","7","11.265, 290","11.961, 202","223","? 2036-03 [18.5] ?","none","none","bK13E41Q"
"(2009 DM40)","7","26.8","7.6 - 34","9","10.669, 362","11.919, 322","221","none","none","none","bK09D40M"
"(2015 AE44)","18","24.6","21 - 94","5","10.967, 378","11.889, 154","221","? 2044-01 [20.4] ?","none","none","bK15A44E"
"(2019 OV3)","8","24.0","28 - 123","6","11.010, 450","11.990, 434","221","2020-07 [21.9]","2027-11 [14]","none","bK19O03V"
"(2014 US7)","11","26.6","8.3 - 37","1","11.492, 362","11.943, 346","220","2022-10 [23.5]","none","none","bK14U07S"
"(2016 JH29)","7","24.9","18 - 81","8","10.818, 426","11.987, 194","219","? 2025-01 [21.3] ?","none","none","bK16J29H"
"(2012 BT1)","4","27.4","5.8 - 26","8","11.441, 242","11.985, 186","218","? 2021-01 [23.6] ?","none","none","bK12B01T"
"(1994 EU)","12","25.9","11 - 51","8","11.150, 354","11.878, 210","216","? 2031-03 [23.4] ?","none","none","bJ94E00U"
"(2004 PB97)","7","25.3","15 - 68","8","10.593, 370","11.923, 338","216","? 2041-08 [22.8] ?","none","none","bK04P97B"
"(2019 AF11)","4","24.0","28 - 123","7","10.899, 378","11.965, 346","216","2022-01 [23.7]","none","none","bK19A11F"
"(2013 EN20)","4","29.1","2.6 - 12","8","11.308, 298","11.822, 162","213","none","none","none","bK13E20N"
"(2016 XD2)","12","23.9","29 - 129","7","11.428, 362","11.934, 194","212","? 2023-10 [18.4] ?","none","none","bK16X02D"
"(2016 GW216)","21","22.5","55 - 246","0","11.068, 378","11.976, 346","212","2021-11 [18.3]","none","none","bK16GL6W"
"(2020 BG1)","9","22.1","67 - 299","5","10.999, 354","11.957, 322","211","2020-03 [21.3]","none","none","bK20B01G"
"(2012 SR56)","12","24.3","24 - 107","1","11.066, 362","11.848, 338","210","2021-03 [23.6]","2043-09 [1.e3]","2043-09 [20]","bK12S56R"
"(2018 AV11)","6","25.1","17 - 74","7","11.281, 386","11.979, 314","210","? 2037-06 [23.8] ?","none","none","bK18A11V"
"(2016 SM2)","5","23.6","33 - 148","8","11.502, 386","11.949, 354","210","? 2022-07 [23.5] ?","none","none","bK16S02M"
"(2017 DP34)","7","24.2","25 - 112","7","10.605, 362","11.963, 330","210","? 2032-07 [20.9] ?","none","none","bK17D34P"
"(2019 WW)","12","24.6","21 - 94","7","11.288, 426","11.952, 418","209","2020-10 [23.0]","none","none","bK19W00W"
"(2015 KK120)","3","28.1","4.2 - 19","9","11.243, 410","11.973, 378","205","none","none","none","bK15KC0K"
"(2015 FM33)","7","24.6","21 - 94","2","11.379, 394","11.965, 370","204","2020-05 [23.6]","none","none","bK15F33M"
"(2017 JF3)","14","21.8","76 - 340","0","11.431, 378","11.997, 354","204","2022-02 [22.6]","2036-05 [110]","none","bK17J03F"
"(2011 CA4)","10","27.1","6.6 - 30","7","10.882, 450","11.992, 378","203","none","none","none","bK11C04A"
"(2007 TR68)","7","25.9","11 - 51","6","11.433, 378","11.881, 354","202","? 2025-09 [23.0] ?","none","none","bK07T68R"
"(2009 KR4)","9","25.0","17 - 78","8","10.270, 178","11.992, 146","199","? 2033-04 [22.7] ?","none","none","bK09K04R"
"(2018 VB)","2","26.0","11 - 49","7","11.174, 394","11.994, 354","199","? 2033-04 [22.4] ?","none","none","bK18V00B"
"(2017 FM101)","7","26.6","8.3 - 37","7","11.021, 314","11.948, 266","198","? 2040-07 [22.9] ?","none","none","bK17FA1M"
"(2018 CB)","33","25.9","11 - 51","2","11.605, 370","11.854, 266","197","2023-01 [23.6]","none","none","bK18C00B"
"(2006 SV5)","21","23.1","42 - 187","5","11.266, 386","11.914, 346","194","2021-01 [23.2]","none","none","bK06S05V"
"(2010 RA91)","18","23.6","33 - 148","6","10.752, 378","11.970, 354","193","2020-07 [23.4]","none","none","bK10R91A"
"(2011 UZ275)","24","23.6","33 - 148","7","10.453, 362","11.970, 322","191","? 2021-04 [23.3] ?","none","none","bK11UR5Z"
"(2013 FU13)","8","27.4","5.8 - 26","6","10.308, 370","11.740, 66","190","? 2038-03 [17.8] ?","none","none","bK13F13U"
"(2019 KU3)","7","22.5","55 - 246","5","11.239, 370","11.839, 338","190","2021-10 [22.7]","none","none","bK19K03U"
"(2012 FV35)","5","25.1","17 - 74","9","11.044, 362","11.939, 338","189","? 2040-03 [21.5] ?","none","none","bK12F35V"
"(2013 BW15)","5","25.4","14 - 65","1","11.636, 338","11.982, 138","189","2026-08 [22.1]","none","none","bK13B15W"
"(2015 YV20)","8","22.2","63 - 282","7","11.042, 394","11.964, 362","188","2040-04 [23.8]","2023-05 [48]","none","bK15Y20V"
"(2017 FS90)","4","26.3","10 - 43","7","10.983, 362","11.924, 346","188","? 2036-09 [20.2] ?","none","none","bK17F90S"
"(2018 AT11)","4","25.0","17 - 78","7","10.789, 362","11.929, 146","188","? 2034-12 [17.7] ?","none","none","bK18A11T"
"(2020 AB2)","4","27.0","6.9 - 31","7","11.576, 362","11.974, 234","188","? 2024-11 [22.2] ?","none","none","bK20A02B"
"(2017 RO17)","2","26.1","10 - 47","6","11.587, 362","11.998, 338","187","2026-10 [23.2]","none","none","bK17R17O"
"(2020 BT14)","3","27.7","4.9 - 22","6","10.848, 346","11.940, 202","187","none","none","none","bK20B14T"
"(2011 AH5)","16","26.0","11 - 49","2","10.661, 386","11.680, 362","185","2031-07 [18.9]","2031-07 [1.8e4]","2031-07 [360]","bK11A05H"
"(2014 MK55)","20","21.4","91 - 408","4","11.242, 346","11.914, 306","185","2020-03 [22.4]","2030-12 [14]","none","bK14M55K"
"(2016 BR)","4","25.6","13 - 59","8","11.024, 370","11.833, 338","183","? 2037-12 [23.4] ?","none","none","bK16B00R"
"(2006 EY)","10","25.1","17 - 74","8","11.417, 402","11.959, 258","182","none","none","none","bK06E00Y"
"(2011 SC16)","4","27.4","5.8 - 26","8","10.937, 362","11.896, 314","182","none","none","none","bK11S16C"
"(2014 RB12)","12","23.0","44 - 195","5","11.362, 354","11.995, 178","182","2024-01 [23.6]","none","none","bK14R12B"
"(2015 FW33)","14","25.8","12 - 54","7","11.146, 378","11.904, 346","181","none","none","none","bK15F33W"
"(2015 XV168)","4","27.5","5.5 - 25","7","10.771, 362","11.885, 330","180","none","none","none","bK15XG8V"
"(2015 CA40)","19","24.6","21 - 94","6","10.569, 370","11.984, 338","179","2044-02 [23.8]","none","none","bK15C40A"
"(2016 CO195)","7","26.3","10 - 43","7","11.225, 394","11.981, 338","178","? 2029-02 [23.3] ?","none","none","bK16CJ5O"
"(2016 XJ2)","8","24.2","25 - 112","6","11.278, 354","11.893, 322","178","? 2028-05 [23.9] ?","none","none","bK16X02J"
"(2010 VU)","9","24.9","18 - 81","8","11.312, 314","11.991, 274","177","? 2028-05 [20.3] ?","none","none","bK10V00U"
"(2019 HS)","4","27.2","6.3 - 28","7","10.727, 178","11.877, 146","174","? 2027-04 [20.1] ?","none","none","bK19H00S"
"(2019 AU6)","4","26.6","8.3 - 37","6","11.113, 450","11.836, 442","174","none","none","none","bK19A06U"
"(2005 RZ2)","22","23.3","38 - 170","0","10.180, 370","11.883, 346","171","2020-03 [19.9]","none","none","bK05R02Z"
"(2008 EX5)","16","23.8","30 - 135","6","11.153, 338","11.916, 314","171","? 2023-09 [23.7] ?","none","none","bK08E05X"
"(2014 BS)","6","26.3","10 - 43","8","10.393, 362","11.840, 338","171","? 2038-01 [23.9] ?","none","none","bK14B00S"
"(2017 TU5)","4","27.5","5.5 - 25","7","11.184, 362","11.897, 314","171","none","none","none","bK17T05U"
"(2012 KB6)","6","25.0","17 - 78","8","11.005, 362","11.882, 330","169","? 2038-11 [23.5] ?","none","none","bK12K06B"
"(2016 ED86)","9","25.3","15 - 68","6","11.195, 370","11.984, 338","169","none","none","none","bK16E86D"
"(2018 RJ3)","6","27.8","4.8 - 21","6","10.876, 370","11.723, 338","168","none","none","none","bK18R03J"
"(2016 VE4)","4","26.4","9.1 - 41","7","11.124, 194","11.929, 162","167","? 2031-11 [19.6] ?","none","none","bK16V04E"
"(2012 KM11)","6","24.5","22 - 98","7","11.144, 362","11.965, 330","167","? 2033-04 [21.2] ?","none","none","bK12K11M"
"(2017 FG3)","10","23.1","42 - 187","5","11.321, 362","11.990, 322","166","2022-02 [23.1]","none","2035-08 [11]","bK17F03G"
"(2020 DD4)","1","28.3","3.8 - 17","7","11.564, 338","11.998, 322","165","none","none","none","bK20D04D"
"(2017 BO91)","2","24.9","18 - 81","8","11.218, 402","11.955, 378","164","? 2030-05 [22.9] ?","none","none","bK17B91O"
"(2016 LH10)","6","25.2","16 - 71","8","10.525, 370","11.999, 346","163","? 2025-12 [23.6] ?","none","none","bK16L10H"
"(2020 CU1)","5","24.1","27 - 120","7","11.335, 346","11.968, 314","163","2020-03 [21.5]","none","none","bK20C01U"
"497113 (2004 EK1)","39","22.2","63 - 282","0","11.120, 370","11.983, 354","159","2021-05 [23.0]","none","none","a0497113"
"(2019 DU)","2","27.2","6.3 - 28","8","11.449, 370","11.866, 346","159","none","none","none","bK19D00U"
"(2000 JX8)","11","25.4","14 - 65","8","10.800, 378","11.933, 146","157","? 2036-04 [17.4] ?","none","none","bK00J08X"
"465617 (2009 EK1)","23","21.4","91 - 408","0","10.244, 362","11.926, 330","157","2020-03 [21.9]","none","none","a0465617"
"(2020 DQ4)","1","25.8","12 - 55","7","10.453, 362","11.796, 338","157","2020-03 [21.1]","none","none","bK20D04Q"
"(2017 CP1)","22","24.6","21 - 94","3","11.630, 442","11.997, 322","156","2043-12 [23.0]","none","none","bK17C01P"
"(2016 PD1)","27","23.8","30 - 135","0","11.042, 370","11.840, 346","155","2022-06 [22.3]","none","none","bK16P01D"
"(2016 WV7)","5","27.2","6.3 - 28","7","10.990, 378","11.881, 298","155","? 2041-10 [20.7] ?","none","none","bK16W07V"
"(2013 DG)","16","24.4","23 - 103","4","11.275, 354","11.932, 194","153","2030-01 [22.4]","2030-03 [22]","none","bK13D00G"
"(2012 SM8)","9","26.3","10 - 43","8","11.069, 378","11.949, 154","153","? 2033-08 [20.1] ?","none","none","bK12S08M"
"(2011 KB)","10","25.1","17 - 74","7","11.608, 354","11.967, 314","150","? 2025-05 [22.1] ?","none","none","bK11K00B"
"(2012 WH1)","17","23.9","29 - 129","3","11.377, 362","11.981, 322","148","2023-09 [23.0]","2029-12 [2100]","2029-12 [41]","bK12W01H"
"(2016 WL1)","3","25.8","12 - 54","7","10.807, 354","11.883, 338","148","? 2042-10 [23.0] ?","none","none","bK16W01L"
"(2016 NK22)","4","29.0","2.8 - 12","7","11.181, 322","11.959, 178","146","? 2027-06 [23.8] ?","none","none","bK16N22K"
"(2007 VD3)","18","22.2","63 - 282","2","11.236, 378","11.748, 354","145","2027-09 [23.7]","none","none","bK07V03D"
"(2018 MJ)","8","26.1","10 - 47","7","11.261, 402","11.976, 354","145","? 2033-06 [22.7] ?","none","none","bK18M00J"
"(2017 VS13)","4","24.6","21 - 94","8","11.426, 354","11.818, 322","142","? 2022-06 [22.2] ?","none","none","bK17V13S"
"(2014 QV296)","10","23.8","30 - 135","6","10.918, 386","11.885, 362","141","2023-08 [23.6]","none","none","bK14QT6V"
"(2019 JS7)","1","25.7","13 - 56","8","11.067, 362","11.880, 330","140","none","none","none","bK19J07S"
"(2019 YD5)","5","25.8","12 - 54","7","10.918, 370","11.878, 162","138","? 2041-11 [20.2] ?","none","none","bK19Y05D"
"(2013 VL)","5","27.7","5.0 - 22","7","10.936, 370","11.957, 354","137","none","none","none","bK13V00L"
"(2015 GW)","9","25.4","14 - 65","7","11.267, 362","11.948, 298","136","? 2036-03 [23.0] ?","none","none","bK15G00W"
"(2017 GS6)","10","24.8","19 - 85","3","11.282, 362","11.819, 346","136","2027-02 [23.8]","none","none","bK17G06S"
"(2016 EJ85)","12","25.8","12 - 54","7","11.160, 362","11.784, 330","134","? 2045-03 [22.8] ?","none","none","bK16E85J"
"371660 (2007 CN26)","70","21.1","105 - 469","0","10.910, 370","11.990, 346","134","2022-01 [23.1]","2038-08 [74]","none","a0371660"
"(2018 RR)","3","27.6","5.3 - 23","6","11.431, 370","11.995, 354","133","? 2040-03 [23.7] ?","none","none","bK18R00R"
"(2020 BZ10)","1","27.5","5.6 - 25","8","10.700, 378","11.969, 322","133","2020-03 [23.6]","none","none","bK20B10Z"
"(2009 JS)","6","25.7","13 - 56","9","11.227, 370","11.691, 346","132","? 2034-04 [23.0] ?","none","none","bK09J00S"
"(2015 PA57)","15","24.5","22 - 98","6","11.582, 442","11.972, 370","130","2028-07 [23.8]","none","none","bK15P57A"
"(2019 FV)","4","24.0","28 - 123","4","10.318, 362","11.974, 338","129","2023-09 [22.6]","none","none","bK19F00V"
"(2015 CT13)","14","26.0","11 - 49","6","11.256, 386","11.937, 194","128","2029-02 [23.4]","none","none","bK15C13T"
"(2019 AD9)","2","23.6","33 - 148","9","11.019, 370","11.903, 346","128","? 2021-06 [21.9] ?","none","none","bK19A09D"
"(2011 CE66)","5","25.6","13 - 59","9","10.828, 362","11.923, 338","127","? 2036-02 [22.1] ?","none","none","bK11C66E"
"(2006 BW7)","8","26.5","8.7 - 39","8","11.451, 314","11.902, 274","126","? 2041-08 [21.7] ?","none","none","bK06B07W"
"(2008 TC3)","18","30.4","1.4 - 6.5","4","11.023, 386","11.968, 266","126","? 2041-09 [22.0] ?","none","none","bK08T03C"
"(2020 BR15)","2","26.3","10 - 43","8","11.493, 330","11.955, 234","126","? 2039-09 [21.9] ?","none","none","bK20B15R"
"(2016 FW13)","6","29.5","2.2 - 10","7","11.350, 378","11.994, 346","125","none","none","none","bK16F13W"
"(2019 FX)","8","25.8","12 - 54","7","11.324, 426","11.960, 234","123","none","none","none","bK19F00X"
"(2014 JY30)","6","25.4","14 - 65","8","11.213, 370","11.966, 338","122","? 2036-10 [22.0] ?","none","none","bK14J30Y"
"(2019 BR3)","2","27.9","4.6 - 20","8","11.367, 346","11.911, 314","122","? 2039-06 [21.0] ?","none","none","bK19B03R"
"(2019 TM1)","5","24.2","25 - 112","7","11.486, 362","11.961, 354","122","? 2041-03 [21.7] ?","none","none","bK19T01M"
"(2019 XU2)","12","23.5","35 - 155","6","11.313, 362","11.869, 194","122","2020-03 [23.9]","none","none","bK19X02U"
"(2006 MB)","20","22.6","53 - 235","1","10.403, 370","11.852, 346","120","2025-10 [21.8]","2026-06 [12]","none","bK06M00B"
"(2013 KS1)","6","26.8","7.6 - 34","8","11.357, 338","11.943, 298","119","? 2022-04 [19.3] ?","none","none","bK13K01S"
"(2008 CB175)","10","25.4","14 - 65","7","10.983, 370","11.845, 338","119","? 2043-12 [20.4] ?","none","none","bK08CH5B"
"(2018 VZ3)","9","25.4","14 - 65","7","11.452, 410","11.945, 362","119","? 2025-10 [22.5] ?","none","none","bK18V03Z"
"(2020 BS1)","12","26.3","10 - 43","6","10.411, 370","11.984, 330","119","2020-03 [23.7]","none","none","bK20B01S"
"(2006 MV1)","9","26.8","7.6 - 34","7","11.038, 370","11.945, 346","118","none","none","none","bK06M01V"
"(2014 RA12)","6","24.4","23 - 103","7","11.443, 362","11.980, 170","117","? 2022-03 [23.7] ?","none","none","bK14R12A"
"(2019 UD4)","7","23.1","42 - 187","4","11.348, 394","11.994, 154","116","2021-05 [17.3]","2021-08 [730]","2021-08 [15]","bK19U04D"
"(2018 KX2)","3","25.7","13 - 56","8","10.938, 370","11.997, 346","115","? 2035-11 [22.1] ?","none","none","bK18K02X"
"(2014 TB36)","7","25.3","15 - 68","7","11.282, 362","11.969, 338","114","? 2031-04 [22.9] ?","none","none","bK14T36B"
"(2013 BN18)","9","24.6","21 - 94","6","11.209, 362","11.953, 346","113","? 2029-01 [20.6] ?","none","none","bK13B18N"
"(2014 NG3)","10","24.2","25 - 112","6","11.069, 378","11.980, 130","112","? 2045-05 [18.1] ?","none","none","bK14N03G"
"(2014 MX)","12","24.1","26 - 118","5","11.364, 362","11.942, 130","108","? 2043-03 [22.8] ?","none","none","bK14M00X"
"(2014 AE5)","9","25.5","14 - 62","7","11.491, 410","11.997, 202","108","? 2032-12 [22.4] ?","none","none","bK14A05E"
"(2019 UF9)","2","28.1","4.2 - 19","7","11.602, 426","11.962, 394","108","none","none","none","bK19U09F"
"(2018 AJ)","11","24.5","22 - 98","2","11.080, 402","11.989, 210","107","2039-11 [21.3]","none","none","bK18A00J"
"(2015 OQ21)","9","27.9","4.6 - 20","3","11.306, 418","11.754, 234","106","2022-06 [22.3]","none","none","bK15O21Q"
"(2016 VH6)","2","26.2","10 - 45","8","10.932, 394","11.972, 370","106","? 2025-11 [23.5] ?","none","none","bK16V06H"
"(2019 AH2)","3","24.2","25 - 112","7","11.639, 410","11.971, 354","106","? 2034-10 [22.7] ?","none","none","bK19A02H"
"(2019 UF11)","8","24.2","25 - 112","7","10.718, 362","11.967, 338","106","? 2023-09 [22.1] ?","none","none","bK19U11F"
"(2004 CO49)","21","21.6","83 - 372","0","11.729, 378","11.995, 338","105","2020-03 [23.4]","2033-02 [11]","none","bK04C49O"
"(2018 BW)","1","28.1","4.2 - 19","7","11.036, 362","11.911, 314","104","none","none","none","bK18B00W"
"(2020 CW2)","2","26.3","10 - 43","8","10.462, 362","11.985, 338","103","2020-03 [23.0]","none","none","bK20C02W"
"(2017 BS)","5","24.5","22 - 98","7","10.657, 362","11.923, 346","102","? 2032-12 [22.6] ?","none","none","bK17B00S"
"(2014 JU79)","7","22.7","50 - 224","8","11.574, 434","11.956, 410","101","? 2022-04 [22.8] ?","none","none","bK14J79U"
"(2011 BG24)","7","26.6","8.3 - 37","7","11.530, 450","11.948, 290","101","none","none","none","bK11B24G"
"(2013 SU24)","33","24.5","22 - 98","3","11.321, 386","11.974, 146","100","2029-07 [20.2]","2029-10 [350]","none","bK13S24U"
"(2015 FO36)","4","23.7","32 - 142","9","11.373, 362","11.869, 330","100","? 2027-09 [21.4] ?","none","none","bK15F36O"
"(2005 UW5)","9","27.5","5.5 - 25","7","11.445, 338","11.937, 314","100","none","none","none","bK05U05W"
"487577 (2014 YQ15)","49","21.2","100 - 448","1","11.393, 354","11.891, 338","100","2020-03 [23.2]","2031-12 [94]","none","a0487577"
"(2018 EC1)","5","26.2","10 - 45","7","11.287, 370","11.886, 354","100","? 2024-08 [22.9] ?","none","none","bK18E01C"
"(2008 BW2)","6","29.7","2.0 - 8.9","7","11.438, 426","11.906, 346","98","none","none","none","bK08B02W"
"(2017 WL14)","8","25.2","16 - 71","7","11.289, 378","11.994, 346","98","? 2039-10 [20.4] ?","none","none","bK17W14L"
"341050 (2007 HZ)","70","20.2","159 - 709","0","11.532, 386","11.984, 354","97","2021-01 [23.1]","none","none","a0341050"
"(2018 VA2)","6","27.1","6.6 - 30","6","11.206, 370","11.960, 338","97","none","none","none","bK18V02A"
"(2017 UP43)","8","26.4","9.1 - 41","7","11.303, 362","11.869, 346","97","none","none","none","bK17U43P"
"(2018 FW3)","5","26.3","10 - 43","7","10.969, 370","11.986, 338","96","none","none","none","bK18F03W"
"(2009 VM24)","6","26.6","8.3 - 37","8","11.053, 370","11.985, 354","95","? 2029-10 [22.8] ?","none","none","bK09V24M"
"(2017 FV64)","3","25.0","17 - 78","7","11.097, 378","11.995, 354","95","? 2024-01 [23.9] ?","none","none","bK17F64V"
"(2017 YD7)","2","27.3","6.0 - 27","8","11.058, 386","11.972, 346","95","? 2040-12 [21.5] ?","none","none","bK17Y07D"
"(2015 GY)","40","21.7","80 - 356","2","10.901, 362","11.849, 346","94","2024-02 [23.7]","2036-04 [41]","2037-10 [20]","bK15G00Y"
"(2014 TL17)","26","22.9","46 - 205","0","11.414, 378","11.950, 362","94","2020-03 [22.9]","2038-10 [67]","none","bK14T17L"
"(2018 VO1)","4","26.0","11 - 49","8","11.524, 354","11.987, 314","94","none","none","none","bK18V01O"
"(2017 JS1)","4","25.5","14 - 62","6","11.627, 362","11.928, 346","93","? 2032-04 [23.4] ?","none","none","bK17J01S"
"(2008 EV68)","10","23.5","35 - 155","7","11.566, 426","11.994, 394","92","? 2021-09 [23.4] ?","none","none","bK08E68V"
"(2003 RD5)","10","23.4","36 - 163","8","11.089, 370","11.771, 338","91","? 2026-03 [23.9] ?","none","none","bK03R05D"
"495021 (2010 SH15)","23","22.6","53 - 235","1","11.638, 442","11.980, 378","91","2020-05 [21.0]","none","none","a0495021"
"(2013 NC24)","5","25.3","15 - 68","8","11.221, 386","11.792, 370","91","? 2042-06 [23.4] ?","none","none","bK13N24C"
"(2019 VJ5)","7","25.0","17 - 78","6","11.568, 370","11.993, 338","91","? 2042-05 [22.9] ?","none","none","bK19V05J"
"(2020 CK2)","5","29.3","2.5 - 11","7","10.206, 370","11.878, 322","90","none","none","none","bK20C02K"
"(2014 PQ58)","5","24.1","26 - 118","7","11.129, 362","11.951, 346","89","? 2023-01 [22.6] ?","none","none","bK14P58Q"
"(2018 VS1)","3","26.6","8.3 - 37","7","11.083, 386","11.956, 362","89","none","none","none","bK18V01S"
"(2020 AG)","4","26.2","10 - 45","8","11.685, 426","11.861, 338","89","none","none","none","bK20A00G"
"(2001 EC16)","39","22.3","60 - 270","0","11.364, 354","11.895, 338","88","2020-11 [23.7]","2029-07 [22]","2029-08 [62]","bK01E16C"
